Date,Round,Court,Surface,Series,Tournament,tourney_weight,Winner,loser,game_ratio_1,game_ratio_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,player_num,player,game_ratio,rank,points,odds,year,week,corr_date
01/03/2000,1st Round,Outdoor,Hard,International,Australian Hardcourt Championships,250,Federer R.,Knippschild J.,2.4,0.417,65,87,-1,-1,-1,-1,Player_1,Federer R.,2.4,65,-1,-1,2000,1,01/03/2000
01/03/2000,2nd Round,Outdoor,Hard,International,Australian Hardcourt Championships,250,Enqvist T.,Federer R.,0.769,1.3,65,5,-1,-1,-1,-1,Player_1,Federer R.,0.769,65,-1,-1,2000,1,01/03/2000
01/10/2000,1st Round,Outdoor,Hard,International,Heineken Open,250,Ferrero J.C.,Federer R.,1.5,0.667,45,61,-1,-1,-1,-1,Player_2,Federer R.,0.667,61,-1,-1,2000,2,01/10/2000
01/17/2000,1st Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Federer R.,Chang M.,0.737,1.357,38,62,-1,-1,-1,-1,Player_2,Federer R.,1.357,62,-1,-1,2000,3,01/17/2000
01/17/2000,2nd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Federer R.,Kroslak J.,1.727,0.579,62,104,-1,-1,-1,-1,Player_1,Federer R.,1.727,62,-1,-1,2000,3,01/17/2000
01/17/2000,3rd Round,Outdoor,Hard,Grand Slam,Australian Open,1500,Clement A.,Federer R.,0.444,2.25,62,54,-1,-1,-1,-1,Player_1,Federer R.,0.444,62,-1,-1,2000,3,01/17/2000
02/07/2000,1st Round,Indoor,Hard,International,Marseille Open,250,Federer R.,Dupuis A.,1.5,0.667,67,93,-1,-1,-1,-1,Player_1,Federer R.,1.5,67,-1,-1,2000,6,02/07/2000
02/07/2000,2nd Round,Indoor,Hard,International,Marseille Open,250,Federer R.,Johansson T.,0.417,2.4,41,67,-1,-1,-1,-1,Player_2,Federer R.,2.4,67,-1,-1,2000,6,02/07/2000
02/07/2000,Quarterfinals,Indoor,Hard,International,Marseille Open,250,Federer R.,Ljubicic I.,1.143,0.875,67,69,-1,-1,-1,-1,Player_1,Federer R.,1.143,67,-1,-1,2000,6,02/07/2000
02/07/2000,Semifinals,Indoor,Hard,International,Marseille Open,250,Federer R.,Santoro F.,0.786,1.273,38,67,-1,-1,-1,-1,Player_2,Federer R.,1.273,67,-1,-1,2000,6,02/07/2000
02/07/2000,The Final,Indoor,Hard,International,Marseille Open,250,Rosset M.,Federer R.,1,1,77,67,-1,-1,-1,-1,Player_2,Federer R.,1,67,-1,-1,2000,6,02/07/2000
02/21/2000,1st Round,Indoor,Hard,International Gold,AXA Cup,500,Federer R.,Kiefer N.,0.333,3,4,66,-1,-1,-1,-1,Player_2,Federer R.,3,66,-1,-1,2000,8,02/21/2000
02/21/2000,2nd Round,Indoor,Hard,International Gold,AXA Cup,500,Federer R.,Ivanisevic G.,1.625,0.615,66,61,-1,-1,-1,-1,Player_1,Federer R.,1.625,66,-1,-1,2000,8,02/21/2000
02/21/2000,Quarterfinals,Indoor,Hard,International Gold,AXA Cup,500,Rosset M.,Federer R.,0.933,1.071,66,72,-1,-1,-1,-1,Player_1,Federer R.,0.933,66,-1,-1,2000,8,02/21/2000
02/28/2000,1st Round,Indoor,Hard,International,Copenhagen Open,250,Federer R.,Dewulf F.,1.231,0.813,58,234,-1,-1,-1,-1,Player_1,Federer R.,1.231,58,-1,-1,2000,9,02/28/2000
02/28/2000,2nd Round,Indoor,Hard,International,Copenhagen Open,250,Federer R.,Jonsson F.,0.667,1.5,121,58,-1,-1,-1,-1,Player_2,Federer R.,1.5,58,-1,-1,2000,9,02/28/2000
02/28/2000,Quarterfinals,Indoor,Hard,International,Copenhagen Open,250,Federer R.,Pozzi G.,1.6,0.625,58,83,-1,-1,-1,-1,Player_1,Federer R.,1.6,58,-1,-1,2000,9,02/28/2000
02/28/2000,Semifinals,Indoor,Hard,International,Copenhagen Open,250,Larsson M.,Federer R.,0.692,1.444,58,48,-1,-1,-1,-1,Player_1,Federer R.,0.692,58,-1,-1,2000,9,02/28/2000
03/23/2000,1st Round,Outdoor,Hard,Masters,Ericsson Open,1000,Federer R.,Gimelstob J.,1.625,0.615,53,99,-1,-1,-1,-1,Player_1,Federer R.,1.625,53,-1,-1,2000,12,03/23/2000
03/23/2000,2nd Round,Outdoor,Hard,Masters,Ericsson Open,1000,Zabaleta M.,Federer R.,0.769,1.3,53,25,-1,-1,-1,-1,Player_1,Federer R.,0.769,53,-1,-1,2000,12,03/23/2000
04/17/2000,1st Round,Outdoor,Clay,Masters,Monte Carlo Masters,1000,Novak J.,Federer R.,1.25,0.8,37,49,-1,-1,-1,-1,Player_2,Federer R.,0.8,49,-1,-1,2000,16,04/17/2000
