player,rank,points,year,week,corr_date,absent
Federer R.,65,-1,2000,1,01/03/2000,
Federer R.,61,-1,2000,2,01/10/2000,
Federer R.,62,-1,2000,3,01/17/2000,
Federer R.,62,,2000,4,,
Federer R.,62,,2000,5,,
Federer R.,67,-1,2000,6,02/07/2000,
Federer R.,67,,2000,7,,
Federer R.,66,-1,2000,8,02/21/2000,
Federer R.,58,-1,2000,9,02/28/2000,
Federer R.,58,,2000,10,,
Federer R.,58,,2000,11,,
Federer R.,53,-1,2000,12,03/23/2000,
Federer R.,53,,2000,13,,
Federer R.,53,,2000,14,,
Federer R.,53,,2000,15,,
Federer R.,49,-1,2000,16,04/17/2000,
Federer R.,51,-1,2000,17,04/24/2000,
Federer R.,51,,2000,18,,
Federer R.,51,-1,2000,19,05/08/2000,
Federer R.,50,-1,2000,20,05/15/2000,
Federer R.,54,-1,2000,21,05/22/2000,
Federer R.,54,-1,2000,22,05/29/2000,
Federer R.,54,,2000,23,,
Federer R.,38,-1,2000,24,06/12/2000,
Federer R.,35,-1,2000,25,06/19/2000,
Federer R.,35,-1,2000,26,06/26/2000,
Federer R.,35,,2000,27,,
Federer R.,39,-1,2000,28,07/10/2000,
Federer R.,39,,2000,29,,
Federer R.,39,,2000,30,,
Federer R.,38,-1,2000,31,07/31/2000,
Federer R.,39,-1,2000,32,08/07/2000,
Federer R.,40,-1,2000,33,08/14/2000,
Federer R.,40,,2000,34,,
Federer R.,40,-1,2000,35,08/28/2000,
Federer R.,40,,2000,36,,
Federer R.,40,,2000,37,,
Federer R.,40,,2000,38,,
Federer R.,40,,2000,39,,
Federer R.,40,,2000,40,,
Federer R.,31,-1,2000,41,10/09/2000,
Federer R.,31,,2000,42,,
Federer R.,34,-1,2000,43,10/23/2000,
Federer R.,25,-1,2000,44,10/30/2000,
Federer R.,24,-1,2000,45,11/06/2000,
Federer R.,24,-1,2000,46,11/13/2000,
Federer R.,29,-1,2000,47,11/20/2000,
Federer R.,29,,2000,48,,
Federer R.,29,,2000,49,,
Federer R.,29,,2000,50,,
Federer R.,29,,2000,51,,
Federer R.,29,,2000,52,,
Federer R.,29,,2001,1,,
Federer R.,30,-1,2001,2,01/08/2001,
Federer R.,29,-1,2001,3,01/15/2001,
Federer R.,29,,2001,4,,
Federer R.,27,-1,2001,5,01/29/2001,
Federer R.,27,,2001,6,,
Federer R.,23,-1,2001,7,02/12/2001,
Federer R.,23,-1,2001,8,02/19/2001,
Federer R.,23,,2001,9,,
Federer R.,23,,2001,10,,
Federer R.,21,-1,2001,11,03/12/2001,
Federer R.,24,-1,2001,12,03/19/2001,
Federer R.,24,,2001,13,,
Federer R.,24,,2001,14,,
Federer R.,24,,2001,15,,
Federer R.,22,-1,2001,16,04/16/2001,
Federer R.,22,,2001,17,,
Federer R.,22,,2001,18,,
Federer R.,18,-1,2001,19,05/07/2001,
Federer R.,18,-1,2001,20,05/14/2001,
Federer R.,18,,2001,21,,
Federer R.,18,-1,2001,22,05/28/2001,
Federer R.,18,,2001,23,,
Federer R.,14,-1,2001,24,06/11/2001,
Federer R.,15,-1,2001,25,06/18/2001,
Federer R.,15,-1,2001,26,06/25/2001,
