Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Federer R.,Knippschild J.,Federer R.,65,87,-1,-1,-1.0,-1.0,6-1 6-4    
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Federer R.,Enqvist T.,Enqvist T.,65,5,-1,-1,-1.0,-1.0,6-7 4-6    
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Federer R.,Ferrero J.C.,45,61,-1,-1,-1.0,-1.0,6-4 6-4    
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Federer R.,Federer R.,38,62,-1,-1,-1.0,-1.0,4-6 4-6 6-7   
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Kroslak J.,Federer R.,62,104,-1,-1,-1.0,-1.0,7-6 6-2 6-3   
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Clement A.,Clement A.,62,54,-1,-1,-1.0,-1.0,1-6 4-6 3-6   
Marseille Open,2000-02-07,International,Indoor,Hard,1st Round,3,Federer R.,Dupuis A.,Federer R.,67,93,-1,-1,-1.0,-1.0,6-4 6-4    
Marseille Open,2000-02-07,International,Indoor,Hard,2nd Round,3,Johansson T.,Federer R.,Federer R.,41,67,-1,-1,-1.0,-1.0,3-6 2-6    
Marseille Open,2000-02-07,International,Indoor,Hard,Quarterfinals,3,Federer R.,Ljubicic I.,Federer R.,67,69,-1,-1,-1.0,-1.0,6-2 3-6 7-6   
Marseille Open,2000-02-07,International,Indoor,Hard,Semifinals,3,Santoro F.,Federer R.,Federer R.,38,67,-1,-1,-1.0,-1.0,6-7 5-7    
Marseille Open,2000-02-07,International,Indoor,Hard,The Final,3,Rosset M.,Federer R.,Rosset M.,77,67,-1,-1,-1.0,-1.0,2-6 6-3 7-6   
AXA Cup,2000-02-21,International Gold,Indoor,Hard,1st Round,3,Kiefer N.,Federer R.,Federer R.,4,66,-1,-1,-1.0,-1.0,2-6 2-6    
AXA Cup,2000-02-21,International Gold,Indoor,Hard,2nd Round,3,Federer R.,Ivanisevic G.,Federer R.,66,61,-1,-1,-1.0,-1.0,7-5 6-3    
AXA Cup,2000-02-21,International Gold,Indoor,Hard,Quarterfinals,3,Federer R.,Rosset M.,Rosset M.,66,72,-1,-1,-1.0,-1.0,6-3 4-6 4-6   
Copenhagen Open,2000-02-28,International,Indoor,Hard,1st Round,3,Federer R.,Dewulf F.,Federer R.,58,234,-1,-1,-1.0,-1.0,6-4 4-6 6-3   
Copenhagen Open,2000-02-28,International,Indoor,Hard,2nd Round,3,Jonsson F.,Federer R.,Federer R.,121,58,-1,-1,-1.0,-1.0,4-6 4-6    
Copenhagen Open,2000-02-28,International,Indoor,Hard,Quarterfinals,3,Federer R.,Pozzi G.,Federer R.,58,83,-1,-1,-1.0,-1.0,4-6 6-1 6-3   
Copenhagen Open,2000-02-28,International,Indoor,Hard,Semifinals,3,Federer R.,Larsson M.,Larsson M.,58,48,-1,-1,-1.0,-1.0,3-6 6-7    
Ericsson Open,2000-03-23,Masters,Outdoor,Hard,1st Round,3,Federer R.,Gimelstob J.,Federer R.,53,99,-1,-1,-1.0,-1.0,7-5 6-3    
Ericsson Open,2000-03-23,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Zabaleta M.,Zabaleta M.,53,25,-1,-1,-1.0,-1.0,4-6 6-7    
Monte Carlo Masters,2000-04-17,Masters,Outdoor,Clay,1st Round,3,Novak J.,Federer R.,Novak J.,37,49,-1,-1,-1.0,-1.0,6-1 2-6 7-5   
Open Seat Godo,2000-04-24,International Gold,Outdoor,Clay,1st Round,3,Federer R.,Bruguera S.,Bruguera S.,51,249,-1,-1,-1.0,-1.0,1-6 1-6    
Rome TMS,2000-05-08,Masters,Outdoor,Clay,1st Round,3,Medvedev A.,Federer R.,Medvedev A.,25,51,-1,-1,-1.0,-1.0,3-6 6-3 7-5   
Hamburg TMS,2000-05-15,Masters,Outdoor,Clay,1st Round,3,Federer R.,Pavel A.,Pavel A.,50,70,-1,-1,-1.0,-1.0,4-6 3-6    
Internationaler Raiffeisen Grand Prix,2000-05-22,International,Outdoor,Clay,1st Round,3,Hantschk M.,Federer R.,Hantschk M.,94,54,-1,-1,-1.0,-1.0,6-2 6-1    
French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Arthurs W.,Federer R.,Federer R.,106,54,-1,-1,-1.0,-1.0,6-7 3-6 6-1 3-6  
French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Federer R.,Gambill J.M.,Federer R.,54,69,-1,-1,-1.0,-1.0,7-6 6-3 6-3   
French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Kratochvil M.,Federer R.,Federer R.,120,54,-1,-1,-1.0,-1.0,6-7 4-6 6-2 7-6 6-8 
French Open,2000-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Corretja A.,Federer R.,Corretja A.,10,54,-1,-1,-1.0,-1.0,7-5 7-6 6-2   
Gerry Weber Open,2000-06-12,International,Outdoor,Grass,1st Round,3,Clement A.,Federer R.,Federer R.,57,38,-1,-1,-1.0,-1.0,4-6 2-6    
Gerry Weber Open,2000-06-12,International,Outdoor,Grass,2nd Round,3,Federer R.,Larsson M.,Federer R.,38,49,-1,-1,-1.0,-1.0,6-2 6-3    
Gerry Weber Open,2000-06-12,International,Outdoor,Grass,Quarterfinals,3,Federer R.,Chang M.,Chang M.,38,28,-1,-1,-1.0,-1.0,5-7 2-6    
Nottingham Open,2000-06-19,International,Outdoor,Grass,1st Round,3,Fromberg R.,Federer R.,Fromberg R.,71,35,-1,-1,-1.0,-1.0,7-5 6-1    
Wimbledon,2000-06-26,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Kafelnikov Y.,Kafelnikov Y.,35,5,-1,-1,-1.0,-1.0,5-7 5-7 6-7   
Gstaad Open,2000-07-10,International,Outdoor,Clay,1st Round,3,Corretja A.,Federer R.,Corretja A.,10,39,-1,-1,-1.0,-1.0,6-4 4-6 6-4   
Toronto TMS,2000-07-31,Masters,Outdoor,Hard,1st Round,3,Federer R.,Hewitt L.,Hewitt L.,38,10,-1,-1,-1.0,-1.0,6-3 3-6 2-6   
Cincinnati TMS,2000-08-07,Masters,Outdoor,Hard,1st Round,3,Clavet F.,Federer R.,Clavet F.,43,39,-1,-1,-1.0,-1.0,7-6 7-6    
RCA Championships,2000-08-14,International Gold,Outdoor,Hard,1st Round,3,Federer R.,Sekulov J.,Sekulov J.,40,191,-1,-1,-1.0,-1.0,4-6 5-7    
US Open,2000-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Wessels P.,Federer R.,40,89,-1,-1,-1.0,-1.0,4-6 4-6 6-3 7-5 3-4 
US Open,2000-08-28,Grand Slam,Outdoor,Hard,2nd Round,5,Nestor D.,Federer R.,Federer R.,307,40,-1,-1,-1.0,-1.0,1-6 6-7 1-6   
US Open,2000-08-28,Grand Slam,Outdoor,Hard,3rd Round,5,Ferrero J.C.,Federer R.,Ferrero J.C.,12,40,-1,-1,-1.0,-1.0,7-5 7-6 1-6 7-6  
CA Tennis Trophy,2000-10-09,International Gold,Indoor,Hard,1st Round,3,Norman M.,Federer R.,Federer R.,4,31,-1,-1,-1.0,-1.0,6-4 6-7 4-6   
CA Tennis Trophy,2000-10-09,International Gold,Indoor,Hard,2nd Round,3,Federer R.,Mirnyi M.,Federer R.,31,43,-1,-1,-1.0,-1.0,6-3 6-3    
CA Tennis Trophy,2000-10-09,International Gold,Indoor,Hard,Quarterfinals,3,Krajicek R.,Federer R.,Federer R.,20,31,-1,-1,-1.0,-1.0,4-6 3-6    
CA Tennis Trophy,2000-10-09,International Gold,Indoor,Hard,Semifinals,3,Henman T.,Federer R.,Henman T.,10,31,-1,-1,-1.0,-1.0,2-6 7-6 6-3   
Swiss Indoors,2000-10-23,International,Indoor,Carpet,1st Round,3,Haas T.,Federer R.,Federer R.,20,34,-1,-1,-1.0,-1.0,3-6 3-6    
Swiss Indoors,2000-10-23,International,Indoor,Carpet,2nd Round,3,Federer R.,Pavel A.,Federer R.,34,27,-1,-1,-1.0,-1.0,7-6 6-4    
Swiss Indoors,2000-10-23,International,Indoor,Carpet,Quarterfinals,3,Thomann N.,Federer R.,Federer R.,185,34,-1,-1,-1.0,-1.0,4-6 4-6    
Swiss Indoors,2000-10-23,International,Indoor,Carpet,Semifinals,3,Federer R.,Hewitt L.,Federer R.,34,9,-1,-1,-1.0,-1.0,6-4 5-7 7-6   
Swiss Indoors,2000-10-23,International,Indoor,Carpet,The Final,5,Federer R.,Enqvist T.,Enqvist T.,34,6,-1,-1,-1.0,-1.0,2-6 6-4 6-7 6-1 1-6 
Stuttgart TMS,2000-10-30,Masters,Indoor,Hard,1st Round,3,Federer R.,Gambill J.M.,Federer R.,25,27,-1,-1,-1.0,-1.0,7-6 1-0    
Stuttgart TMS,2000-10-30,Masters,Indoor,Hard,2nd Round,3,Federer R.,Kafelnikov Y.,Kafelnikov Y.,25,5,-1,-1,-1.0,-1.0,5-7 3-6    
Grand Prix de Lyon,2000-11-06,International,Indoor,Carpet,1st Round,3,Federer R.,Escude N.,Federer R.,24,38,-1,-1,-1.0,-1.0,6-3 7-6    
Grand Prix de Lyon,2000-11-06,International,Indoor,Carpet,2nd Round,3,Federer R.,Kucera K.,Kucera K.,24,74,-1,-1,-1.0,-1.0,6-3 2-6 3-6   
